"filename", "language", "JSON", "Markdown", "Rust", "YAML", "XML", "TypeScript", "Docker", "HTML", "MS SQL", "Ignore", "Properties", "TypeScript JSX", "CSS", "JavaScript", "JSON with Comments", "comment", "blank", "total"
"/home/tbn/Desktop/pessoa/HTTPS-SETUP.md", "Markdown", 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 187
"/home/tbn/Desktop/pessoa/README.md", "Markdown", 0, 253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82, 335
"/home/tbn/Desktop/pessoa/backend/.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 0, 5
"/home/tbn/Desktop/pessoa/backend/.sqlx/.sqlx/query-024585112b4ffa9899e0df67c926f2170d10cb1e3290b4ae6be530817aba0a10.json", "JSON", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/home/tbn/Desktop/pessoa/backend/.sqlx/.sqlx/query-15a11a2eed227ed918e5c6d17654c9c0ca153a7006214e5b5650b986113aa533.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"/home/tbn/Desktop/pessoa/backend/.sqlx/.sqlx/query-3ad5e76a5e4805ebd8598b9d9cbe94590987abc443a952747c1828686d388527.json", "JSON", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 56
"/home/tbn/Desktop/pessoa/backend/.sqlx/.sqlx/query-3c8e6ddf7e7c7edcdf3daa45ca7a53e2a7109448efb47fe9e92d95a074eff1ae.json", "JSON", 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 48
"/home/tbn/Desktop/pessoa/backend/.sqlx/.sqlx/query-3d1b069f671c32bfb7f55e91922be8469063e2d26fab97568d1241006da17f06.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"/home/tbn/Desktop/pessoa/backend/.sqlx/.sqlx/query-5f121bd824a2de3f256051566157a7e595746d511d3f78c4ebf00d1970d99d7b.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/home/tbn/Desktop/pessoa/backend/.sqlx/.sqlx/query-606364c79e0990deb07dfbe6c32b3d302d083ec5333f3a5ce04113c38a041100.json", "JSON", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"/home/tbn/Desktop/pessoa/backend/.sqlx/.sqlx/query-6a89f28f7d66eecea7cf2c3992f1dbaef784a2263161f86a74cb51a60a942aee.json", "JSON", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 47
"/home/tbn/Desktop/pessoa/backend/.sqlx/.sqlx/query-72486920161fe03541a29e67953ea0349489057e4bc887746dd0582c85fc6f27.json", "JSON", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 59
