"filename", "language", "TypeScript", "HTML", "JSON", "Groovy", "Batch", "CSS", "MS SQL", "TypeScript JSX", "Markdown", "XML", "Properties", "Java", "Ignore", "comment", "blank", "total"
"/home/admins/projects/pessoa/frontend/src/components/shared/Card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 36, 14, 119
"/home/admins/projects/pessoa/frontend/src/components/shared/index.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 6, 27
"/home/admins/projects/pessoa/frontend/src/config/websocket.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 9
"/home/admins/projects/pessoa/frontend/src/contexts/YjsDocumentContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 19, 18, 121
"/home/admins/projects/pessoa/frontend/src/hooks/use3DTilt.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 79
"/home/admins/projects/pessoa/frontend/src/hooks/use3DTiltEffect.ts", "TypeScript", 203, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 242
"/home/admins/projects/pessoa/frontend/src/hooks/useCssTilt.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 59
"/home/admins/projects/pessoa/frontend/src/hooks/useDebounce.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 19, 113
"/home/admins/projects/pessoa/frontend/src/hooks/useDirectTilt.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 53
"/home/admins/projects/pessoa/frontend/src/hooks/useRouting.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 14, 100
"/home/admins/projects/pessoa/frontend/src/hooks/useSimpleTilt.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12, 69
"/home/admins/projects/pessoa/frontend/src/hooks/useTiltEffect.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 83
"/home/admins/projects/pessoa/frontend/src/hooks/useUIState.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 42
"/home/admins/projects/pessoa/frontend/src/hooks/useUploadState.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 36
"/home/admins/projects/pessoa/frontend/src/index.css", "CSS", 0, 0, 0, 0, 0, 436, 0, 0, 0, 0, 0, 0, 0, 71, 82, 589
"/home/admins/projects/pessoa/frontend/src/main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 9, 4, 32
"/home/admins/projects/pessoa/frontend/src/mobile-test.html", "HTML", 0, 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 317
"/home/admins/projects/pessoa/frontend/src/services/ApiService.ts", "TypeScript", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 38, 241
"/home/admins/projects/pessoa/frontend/src/services/ClaudeSessionService.ts", "TypeScript", 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 136
"/home/admins/projects/pessoa/frontend/src/services/LoggingService.ts", "TypeScript", 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63, 46, 361
"/home/admins/projects/pessoa/frontend/src/services/RoutingService.ts", "TypeScript", 132, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 59, 31, 222
"/home/admins/projects/pessoa/frontend/src/services/UploadStateManager.ts", "TypeScript", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 136
"/home/admins/projects/pessoa/frontend/src/services/yjsDocumentManager.ts", "TypeScript", 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 34, 267
"/home/admins/projects/pessoa/frontend/src/stores/UIStore.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 14, 117
"/home/admins/projects/pessoa/frontend/src/styles/ErrorBoundary.css", "CSS", 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 0, 0, 17, 128
"/home/admins/projects/pessoa/frontend/src/styles/ErrorFallbacks.css", "CSS", 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 0, 0, 0, 24, 154
"/home/admins/projects/pessoa/frontend/src/test/auth.test.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 33
"/home/admins/projects/pessoa/frontend/src/test/mocks/api.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38
"/home/admins/projects/pessoa/frontend/src/test/mocks/data.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"/home/admins/projects/pessoa/frontend/src/test/mocks/websocket.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 45
"/home/admins/projects/pessoa/frontend/src/test/setup.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 23
"/home/admins/projects/pessoa/frontend/src/types.ts", "TypeScript", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 14, 231
"/home/admins/projects/pessoa/frontend/src/types/common.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 13, 129
"/home/admins/projects/pessoa/frontend/src/types/cue.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/home/admins/projects/pessoa/frontend/src/utils/apiCache.ts", "TypeScript", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 27, 211
"/home/admins/projects/pessoa/frontend/src/utils/csrf.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 7, 52
"/home/admins/projects/pessoa/frontend/src/utils/debug.ts", "TypeScript", 123, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17, 147
"/home/admins/projects/pessoa/frontend/src/utils/mobile.ts", "TypeScript", 146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 38, 242
"/home/admins/projects/pessoa/frontend/src/utils/profiling.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 0, 26, 24, 163
"/home/admins/projects/pessoa/frontend/src/utils/rateLimit.ts", "TypeScript", 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 42, 250
"/home/admins/projects/pessoa/frontend/src/vite-env.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 12
"Total", "-", 5763, 810, 133, 137, 41, 3608, 0, 5939, 153, 318, 11, 14, 14, 2309, 2931, 22181
