"filename", "language", "TypeScript", "HTML", "JSON", "Groovy", "Batch", "CSS", "MS SQL", "TypeScript JSX", "Markdown", "XML", "Properties", "Java", "Ignore", "Rust", "JSON with Comments", "Python", "comment", "blank", "total"
"/home/admins/projects/pessoa/backend/src/application/page_break_application_service.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -237, 0, 0, -45, -43, -325
"/home/admins/projects/pessoa/backend/src/application/script_application_service.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -415, 0, 0, -53, -65, -533
"/home/admins/projects/pessoa/backend/src/application/script_sharing_application_service.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -206, 0, 0, -30, -34, -270
"/home/admins/projects/pessoa/backend/src/application/thumbnail_application_service.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -126, 0, 0, -24, -26, -176
"/home/admins/projects/pessoa/backend/src/auth/cookies.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -88, 0, 0, -16, -21, -125
"/home/admins/projects/pessoa/backend/src/auth/core.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -341, 0, 0, -152, -65, -558
"/home/admins/projects/pessoa/backend/src/auth/helpers.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -42, 0, 0, -3, -5, -50
"/home/admins/projects/pessoa/backend/src/auth/mod.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -19, 0, 0, -16, -5, -40
"/home/admins/projects/pessoa/backend/src/auth/websocket_auth.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -34, 0, 0, -4, -8, -46
"/home/admins/projects/pessoa/backend/src/bin/json_to_db.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -114, 0, 0, -11, -11, -136
"/home/admins/projects/pessoa/backend/src/bin/test_claude_session.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -79, 0, 0, -8, -15, -102
"/home/admins/projects/pessoa/backend/src/bin/test_json_to_db.rs", "Rust", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -65, 0, 0, -6, -11, -82
