"filename", "language", "MS SQL", "Rust", "Ignore", "Markdown", "JSON", "JSON with Comments", "Python", "comment", "blank", "total"
"/home/admins/projects/pessoa/backend/src/analysis/errors.rs", "Rust", 0, 8, 0, 0, 0, 0, 0, 1, 1, 10
"/home/admins/projects/pessoa/backend/src/analysis/mod.rs", "Rust", 0, 2, 0, 0, 0, 0, 0, 5, 1, 8
"/home/admins/projects/pessoa/backend/src/analysis/structs.rs", "Rust", 0, 446, 0, 0, 0, 0, 0, 31, 37, 514
"/home/admins/projects/pessoa/backend/src/application/mod.rs", "Rust", 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"/home/admins/projects/pessoa/backend/src/application/page_break_application_service.rs", "Rust", 0, 237, 0, 0, 0, 0, 0, 45, 43, 325
"/home/admins/projects/pessoa/backend/src/application/script_application_service.rs", "Rust", 0, 415, 0, 0, 0, 0, 0, 53, 65, 533
"/home/admins/projects/pessoa/backend/src/application/script_sharing_application_service.rs", "Rust", 0, 206, 0, 0, 0, 0, 0, 30, 34, 270
"/home/admins/projects/pessoa/backend/src/application/thumbnail_application_service.rs", "Rust", 0, 126, 0, 0, 0, 0, 0, 24, 26, 176
"/home/admins/projects/pessoa/backend/src/auth/cookies.rs", "Rust", 0, 88, 0, 0, 0, 0, 0, 16, 21, 125
"/home/admins/projects/pessoa/backend/src/auth/core.rs", "Rust", 0, 341, 0, 0, 0, 0, 0, 152, 65, 558
"/home/admins/projects/pessoa/backend/src/auth/helpers.rs", "Rust", 0, 42, 0, 0, 0, 0, 0, 3, 5, 50
"/home/admins/projects/pessoa/backend/src/auth/mod.rs", "Rust", 0, 19, 0, 0, 0, 0, 0, 16, 5, 40
"/home/admins/projects/pessoa/backend/src/auth/websocket_auth.rs", "Rust", 0, 34, 0, 0, 0, 0, 0, 4, 8, 46
"/home/admins/projects/pessoa/backend/src/bin/json_to_db.rs", "Rust", 0, 114, 0, 0, 0, 0, 0, 11, 11, 136
"/home/admins/projects/pessoa/backend/src/bin/test_claude_session.rs", "Rust", 0, 79, 0, 0, 0, 0, 0, 8, 15, 102
"/home/admins/projects/pessoa/backend/src/bin/test_json_to_db.rs", "Rust", 0, 65, 0, 0, 0, 0, 0, 6, 11, 82
"/home/admins/projects/pessoa/backend/src/bin/test_yjs_memory.rs", "Rust", 0, 58, 0, 0, 0, 0, 0, 5, 12, 75
"/home/admins/projects/pessoa/backend/src/core/lib.rs", "Rust", 0, 37, 0, 0, 0, 0, 0, 12, 8, 57
"/home/admins/projects/pessoa/backend/src/core/mod.rs", "Rust", 0, 6, 0, 0, 0, 0, 0, 15, 2, 23
"/home/admins/projects/pessoa/backend/src/core/server.rs", "Rust", 0, 213, 0, 0, 0, 0, 0, 29, 33, 275
"/home/admins/projects/pessoa/backend/src/core/service_manager.rs", "Rust", 0, 246, 0, 0, 0, 0, 0, 50, 47, 343
"/home/admins/projects/pessoa/backend/src/domain/collaboration_service.rs", "Rust", 0, 17, 0, 0, 0, 0, 0, 11, 6, 34
"/home/admins/projects/pessoa/backend/src/domain/content_service.rs", "Rust", 0, 13, 0, 0, 0, 0, 0, 9, 5, 27
"/home/admins/projects/pessoa/backend/src/domain/mod.rs", "Rust", 0, 9, 0, 0, 0, 0, 0, 5, 2, 16
"/home/admins/projects/pessoa/backend/src/domain/script_service.rs", "Rust", 0, 287, 0, 0, 0, 0, 0, 63, 75, 425
"/home/admins/projects/pessoa/backend/src/domain/snapshot/content_extractor_service.rs", "Rust", 0, 457, 0, 0, 0, 0, 0, 31, 57, 545
"/home/admins/projects/pessoa/backend/src/domain/snapshot/html_parser_service.rs", "Rust", 0, 198, 0, 0, 0, 0, 0, 29, 41, 268
"/home/admins/projects/pessoa/backend/src/domain/snapshot/mod.rs", "Rust", 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"/home/admins/projects/pessoa/backend/src/domain/snapshot/snapshot_coordinator_service.rs", "Rust", 0, 280, 0, 0, 0, 0, 0, 23, 55, 358
"/home/admins/projects/pessoa/backend/src/domain/snapshot/yjs_processor_service.rs", "Rust", 0, 319, 0, 0, 0, 0, 0, 49, 53, 421
